date,global_refinary_output,petrol_pump_price,petrol_duty_per_litre,petrol_vat,diesel_pump_price,diesel_duty_per_litre,diesel_vat,avg_stock_level,avg_road_fuel_deliveries,avg_road_fuel_sales,gbp_to_usd_xrate,brent_crude_price,brent_crude_open_price,brent_crude_high_price,brent_crude_low_price,brent_crude_volume_traded,ngas_price,ngas_open_price,ngas_high_price,ngas_low_price,brent_crude_price_range
2020-02-02,296457.8620689655,126.06142857142856,57.95,20.0,131.67999999999998,57.95,20.0,40.08576805,6345.0,6681.0,1.32046,27.4,27.59,27.67,26.93,10530,0.017633333333333334,0.01796666666666667,0.018033333333333335,0.017566666666666668,0.740000000000002
2020-02-09,301482.8965517241,124.89,57.95,20.0,129.9542857142857,57.95,20.0,43.99754884,6688.0,5115.0,1.28925,26.47,26.9,26.9,26.21,33200,0.017533333333333335,0.017566666666666664,0.017566666666666664,0.017433333333333332,0.6899999999999977
2020-02-16,306507.9310344828,123.93285714285715,57.95,20.0,128.4142857142857,57.95,20.0,42.72523216,6189.0,5822.0,1.30471,27.35,27.08,27.54,27.05,128480,0.017900000000000003,0.017733333333333334,0.017866666666666666,0.017733333333333334,0.48999999999999844
2020-02-23,311532.9655172414,123.5,57.95,20.0,127.74571428571429,57.95,20.0,40.1328133,6282.0,6461.0,1.2955,27.68,27.91,27.93,27.51,28040,0.017599999999999998,0.017666666666666667,0.017733333333333334,0.017499999999999998,0.41999999999999815
2020-03-01,316558.0,122.5757142857143,57.95,20.0,126.77000000000001,57.95,20.0,36.64522424,6903.0,7217.0,1.28215,23.86,24.18,24.42,23.52,75090,0.016333333333333335,0.016333333333333335,0.016333333333333335,0.0159,0.9000000000000021
2020-03-08,308392.8387096774,122.26714285714286,57.95,20.0,126.30285714285715,57.95,20.0,38.26640152,7164.0,6588.0,1.3049,21.82,23.61,23.64,21.75,120800,0.016133333333333333,0.015666666666666666,0.016266666666666665,0.015600000000000001,1.8900000000000006
2020-03-15,300227.67741935485,120.60285714285715,57.95,20.0,124.63,57.95,20.0,39.4664803,6847.0,6704.0,1.227,16.68,17.23,17.64,16.5,205550,0.017266666666666666,0.0174,0.017466666666666665,0.01693333333333333,1.1400000000000006
2020-03-22,292062.51612903224,119.73857142857143,57.95,20.0,123.54571428571428,57.95,20.0,44.97044724,6358.0,4367.0,1.165,14.38,15.43,15.7,14.0,206000,0.015366666666666666,0.0153,0.015566666666666666,0.015166666666666667,1.6999999999999993
2020-03-29,283897.3548387097,113.47714285714287,57.95,20.0,119.28714285714285,57.95,20.0,55.83417964,1562.0,1524.0,1.2455,13.92,14.24,14.28,13.8,167610,0.015333333333333332,0.015033333333333333,0.015166666666666667,0.015033333333333333,0.47999999999999865
2020-04-05,279577.3333333333,110.54714285714286,57.95,20.0,117.08285714285714,57.95,20.0,48.51380172,1283.0,1604.0,1.228421,15.78,14.59,16.5,14.59,357820,0.015466666666666667,0.015133333333333334,0.015366666666666667,0.014799999999999999,1.9100000000000001
2020-04-12,278141.1666666667,109.40714285714286,57.95,20.0,116.24714285714286,57.95,20.0,44.7228323,1778.0,1092.0,1.2447,16.18,16.23,17.26,15.8,594370,0.01612,0.01642,0.0165,0.01608,1.4600000000000009
2020-04-19,276705.0,108.72142857142856,57.95,20.0,115.79,57.95,20.0,40.55615199,1480.0,1731.0,1.25095,14.44,14.62,14.75,14.25,196150,0.016533333333333334,0.0162,0.0166,0.0161,0.5
2020-04-26,275268.8333333333,107.98714285714286,57.95,20.0,115.29285714285714,57.95,20.0,36.07490218,2039.0,1968.0,1.237,11.3,11.8,11.8,10.91,218840,0.0162,0.016533333333333334,0.016533333333333334,0.016266666666666665,0.8900000000000006
2020-05-03,274114.4193548387,107.60571428571428,57.95,20.0,114.98,57.95,20.0,36.95861287,2221.0,2113.0,1.2502,11.95,12.12,12.37,11.75,129680,0.017,0.016966666666666668,0.017366666666666666,0.016933333333333335,0.6199999999999992
2020-05-10,273664.3870967742,107.46571428571428,57.95,20.0,114.84571428571428,57.95,20.0,37.72946414,2252.0,2135.0,1.2406,14.03,13.35,14.49,13.29,246000,0.016525,0.016425,0.01665,0.016325,1.200000000000001
2020-05-17,273214.3548387097,105.42714285714285,57.95,20.0,112.59285714285714,57.95,20.0,35.21379162,3170.0,3163.0,1.2156646666666666,14.13,14.27,14.37,13.93,329330,0.0152,0.014766666666666666,0.015366666666666666,0.014633333333333333,0.4399999999999995
2020-05-24,272764.32258064515,104.90142857142858,57.95,20.0,111.77428571428571,57.95,20.0,36.87821035,3489.0,3227.0,1.216605,15.32,15.14,15.44,14.9,386080,0.014950000000000001,0.01455,0.01485,0.0145,0.5399999999999991
2020-05-31,272314.29032258067,105.12714285714286,57.95,20.0,111.75142857142858,57.95,20.0,35.84744329,3762.0,4063.0,1.23435,15.52,15.51,15.65,15.23,101330,0.0139,0.014,0.0141,0.013666666666666666,0.41999999999999993
2020-06-07,275426.0,105.65857142857142,57.95,20.0,111.94857142857143,57.95,20.0,39.43169601,4131.0,3783.0,1.26655,18.14,17.35,18.19,17.35,274590,0.0139,0.014,0.0141,0.013866666666666668,0.8399999999999999
2020-06-14,279131.3333333333,106.28,57.95,20.0,112.45142857142858,57.95,20.0,41.65374571,4475.0,4356.0,1.25445,16.69,16.14,17.01,16.1,285150,0.013300000000000001,0.013666666666666667,0.013666666666666667,0.013333333333333334,0.9100000000000001
2020-06-21,282836.6666666667,107.02142857142857,57.95,20.0,112.91571428571429,57.95,20.0,40.80452039,4173.0,4582.0,1.234885,18.29,18.0,18.34,17.99,306950,0.013166666666666667,0.0131,0.013166666666666667,0.013033333333333333,0.3500000000000014
2020-06-28,286542.0,108.14142857142858,57.95,20.0,113.94,57.95,20.0,38.90745284,4865.0,4699.0,1.23385,17.42,17.74,17.87,17.33,94070,0.0124,0.011766666666666667,0.0125,0.011666666666666667,0.5400000000000027
2020-07-05,287355.67741935485,109.27000000000001,57.95,20.0,114.91428571428571,57.95,20.0,39.93855719,5167.0,4930.0,1.248395,18.36,18.32,18.35,18.16,70960,0.013133333333333334,0.0131,0.013366666666666666,0.0131,0.19000000000000128
2020-07-12,286000.6129032258,110.98142857142857,57.95,20.0,116.50714285714285,57.95,20.0,40.82131741,5557.0,5433.0,1.26225,18.43,17.93,18.43,17.75,58740,0.013133333333333334,0.013,0.013133333333333334,0.013,0.6799999999999997
2020-07-19,284645.5483870968,112.08857142857143,57.95,20.0,117.2642857142857,57.95,20.0,41.53013545,5503.0,5414.0,1.25662,18.46,18.48,18.53,18.28,118770,0.012166666666666668,0.0126,0.0126,0.012133333333333335,0.25
2020-07-26,283290.48387096776,112.59857142857143,57.95,20.0,117.70142857142858,57.95,20.0,40.17917005,5388.0,5393.0,1.27915,18.55,18.6,18.82,18.53,82530,0.0129,0.013033333333333334,0.0133,0.013033333333333334,0.28999999999999915
2020-08-02,281770.93548387097,112.8742857142857,57.95,20.0,117.94,57.95,20.0,37.76526899,5746.0,5863.0,1.308535,18.49,18.67,18.68,18.39,54640,0.0144,0.013466666666666667,0.014533333333333334,0.013366666666666667,0.28999999999999915
2020-08-09,279264.48387096776,113.00428571428571,57.95,20.0,118.00428571428571,57.95,20.0,38.91869382,5775.0,5855.0,1.30435,19.06,19.2,19.28,19.0,41550,0.015600000000000001,0.015933333333333334,0.0161,0.015533333333333333,0.28000000000000114
2020-08-16,276758.03225806454,113.03714285714287,57.95,20.0,118.00142857142858,57.95,20.0,39.98954083,5769.0,5462.0,1.30865,19.18,19.28,19.3,19.09,41650,0.0163,0.016166666666666666,0.016466666666666668,0.0161,0.21000000000000085
2020-08-23,274251.5806451613,113.19428571428571,57.95,20.0,118.12,57.95,20.0,40.3051941,5917.0,5732.0,1.30895,18.83,19.27,19.27,18.84,85190,0.016833333333333336,0.016566666666666667,0.016766666666666666,0.016466666666666668,0.4299999999999997
2020-08-30,271745.12903225806,113.28,57.95,20.0,118.17428571428572,57.95,20.0,38.58370832,5708.0,5959.0,1.335105,19.43,19.32,19.44,19.24,82430,0.017,0.01725,0.01725,0.0169,0.20000000000000284
2020-09-06,274382.8333333333,113.35857142857144,57.95,20.0,118.21428571428571,57.95,20.0,39.84671063,5845.0,6049.0,1.32895,18.11,18.49,18.83,18.07,105630,0.0172,0.0172,0.0172,0.017,0.759999999999998
2020-09-13,279078.2,113.32714285714285,57.95,20.0,118.1857142857143,57.95,20.0,39.66137421,5543.0,6269.0,1.2795,16.98,16.88,17.1,16.75,31910,0.016133333333333333,0.0162,0.016433333333333335,0.0161,0.3500000000000014
2020-09-20,283773.56666666665,113.31142857142858,57.95,20.0,118.16285714285713,57.95,20.0,38.16091077,6219.0,6207.0,1.29165,18.25,18.38,18.41,17.94,87920,0.015566666666666666,0.0151,0.015533333333333333,0.015066666666666667,0.46999999999999886
2020-09-27,288468.93333333335,113.30142857142857,57.95,20.0,118.14285714285714,57.95,20.0,38.76502888,5746.0,6077.0,1.2745,17.59,17.75,17.78,17.51,69520,0.0163,0.016499999999999997,0.0166,0.0161,0.2699999999999996
2020-10-04,291679.12903225806,113.2657142857143,57.95,20.0,118.11428571428571,57.95,20.0,41.30929933,5637.0,5444.0,1.29335,16.58,16.62,16.67,16.23,341500,0.015433333333333334,0.0146,0.015333333333333332,0.014366666666666666,0.4400000000000013
2020-10-11,292909.0967741936,113.2,57.95,20.0,118.05857142857143,57.95,20.0,42.07508419,5618.0,5903.0,1.30485,17.95,17.9,18.0,17.87,54130,0.016033333333333333,0.0161,0.01626666666666667,0.015866666666666668,0.129999999999999
2020-10-18,294139.06451612903,113.18142857142858,57.95,20.0,118.07571428571428,57.95,20.0,41.96954679,5679.0,5613.0,1.2915,17.83,17.7,17.88,17.7,30860,0.0162,0.016166666666666666,0.01633333333333333,0.016133333333333333,0.17999999999999972
2020-10-25,295369.03225806454,113.14571428571429,57.95,20.0,118.08,57.95,20.0,41.94227527,5410.0,5450.0,1.30455,17.58,17.52,17.69,17.52,17410,0.015966666666666667,0.015966666666666667,0.0161,0.0159,0.1700000000000017
2020-11-01,296599.0,113.11428571428571,57.95,20.0,118.06285714285714,57.95,20.0,41.92559062,5573.0,5809.0,1.2945,15.55,15.59,15.88,15.43,130560,0.016,0.016333333333333335,0.016333333333333335,0.016066666666666667,0.45000000000000107
2020-11-08,298990.6666666667,112.58714285714285,57.95,20.0,117.39142857142858,57.95,20.0,45.04291069,5046.0,3965.0,1.31575,16.36,16.69,16.72,16.29,86280,0.014333333333333333,0.014433333333333333,0.014733333333333333,0.014266666666666667,0.4299999999999997
2020-11-15,301382.3333333333,112.37142857142857,57.95,20.0,117.1,57.95,20.0,45.47765485,4314.0,4101.0,1.3195,17.59,17.5,17.75,17.43,38460,0.014199999999999999,0.0146,0.014633333333333333,0.014133333333333333,0.3200000000000003
2020-11-22,303774.0,112.41,57.95,20.0,117.12142857142857,57.95,20.0,40.48461928,4072.0,4444.0,1.328585,18.08,18.04,18.25,18.04,37280,0.013266666666666666,0.013333333333333334,0.013433333333333334,0.013166666666666667,0.21000000000000085
2020-11-29,306165.6666666667,112.58285714285714,57.95,20.0,117.36999999999999,57.95,20.0,38.68397972,5255.0,4618.0,1.33065,19.56,19.28,19.65,19.26,26310,0.013833333333333333,0.0139,0.014166666666666666,0.013833333333333333,0.389999999999997
2020-12-06,307510.77419354836,113.09,57.95,20.0,117.90714285714286,57.95,20.0,38.350668,5624.0,5350.0,1.34395,19.88,20.07,20.12,19.63,145470,0.011733333333333333,0.011666666666666665,0.011833333333333333,0.011466666666666667,0.490000000000002
2020-12-13,308437.2580645161,113.72714285714285,57.95,20.0,118.48714285714286,57.95,20.0,42.11733117,6316.0,5019.0,1.32255,20.25,20.41,20.46,20.18,49010,0.012466666666666668,0.012433333333333333,0.012666666666666666,0.012333333333333333,0.28000000000000114
2020-12-20,309363.7419354839,114.34285714285714,57.95,20.0,119.08428571428571,57.95,20.0,44.18673017,6296.0,5148.0,1.35225,21.15,20.82,21.18,20.79,41200,0.0126,0.012666666666666666,0.0127,0.012433333333333333,0.39000000000000057
2020-12-27,310290.22580645164,114.84142857142857,57.95,20.0,119.58142857142857,57.95,20.0,42.15840873,4988.0,3574.0,1.3381,20.61,20.8,20.89,20.57,6270,0.0117,0.0115,0.01174,0.01136,0.3200000000000003
2021-01-03,308228.5806451613,115.32142857142857,57.95,20.0,119.92428571428572,57.95,20.0,47.58304349,4697.0,3817.0,1.3673,20.68,20.84,20.85,20.64,3010,0.012175,0.01195,0.012325000000000001,0.011850000000000001,0.21000000000000085
2021-01-10,298696.6129032258,116.03285714285714,57.95,20.0,120.51857142857143,57.95,20.0,47.39127167,3381.0,3300.0,1.35655,22.45,22.17,22.5,22.09,315110,0.012466666666666666,0.012266666666666667,0.012533333333333334,0.012166666666666666,0.41000000000000014
2021-01-17,289164.6451612903,116.81714285714287,57.95,20.0,121.39,57.95,20.0,42.94649487,3153.0,3379.0,1.35885,22.4,22.63,22.66,22.23,87500,0.012333333333333333,0.012433333333333333,0.012533333333333334,0.0123,0.4299999999999997
2021-01-24,279632.67741935485,117.93285714285715,57.95,20.0,122.53142857142858,57.95,20.0,38.08737273,3185.0,2841.0,1.36816,22.39,22.41,22.5,22.18,31650,0.012,0.011866666666666666,0.012033333333333333,0.0117,0.3200000000000003
2021-01-31,270100.70967741933,118.99142857142857,57.95,20.0,123.55714285714286,57.95,20.0,34.51638961,3604.0,3731.0,1.3705,22.41,22.28,22.66,22.28,13730,0.012966666666666666,0.0128,0.013099999999999999,0.012666666666666666,0.379999999999999
2021-02-07,276578.4285714286,119.59428571428572,57.95,20.0,124.03428571428572,57.95,20.0,36.5394191,3993.0,3392.0,1.37365,24.14,23.95,24.19,23.95,90990,0.0138,0.013866666666666666,0.014066666666666667,0.013733333333333334,0.240000000000002
2021-02-14,285724.4285714286,120.40714285714286,57.95,20.0,124.87857142857143,57.95,20.0,36.52579118,3762.0,3541.0,1.3842,25.09,24.52,25.09,24.4,33940,0.0138,0.0138,0.013900000000000001,0.013600000000000001,0.6900000000000013
2021-02-21,294870.4285714286,121.16428571428571,57.95,20.0,125.61,57.95,20.0,36.20154639,4155.0,3859.0,1.40165,25.38,25.32,25.65,25.1,369660,0.013866666666666668,0.013866666666666666,0.013966666666666667,0.0138,0.5499999999999972
2021-02-28,304016.4285714286,122.04142857142857,57.95,20.0,126.49000000000001,57.95,20.0,34.09036875,4304.0,4545.0,1.3925,26.5,26.53,26.72,26.26,123520,0.013133333333333334,0.013166666666666667,0.013233333333333333,0.013066666666666667,0.4599999999999973
2021-03-07,300567.32258064515,122.83,57.95,20.0,127.28857142857143,57.95,20.0,36.83471542,4686.0,4412.0,1.3802336666666668,27.94,27.5,28.14,27.47,72130,0.012733333333333333,0.013,0.013,0.012733333333333333,0.6700000000000017
2021-03-14,295019.0322580645,123.76285714285714,57.95,20.0,128.12,57.95,20.0,38.56998625,4755.0,4579.0,1.39245,28.25,28.1,28.33,27.99,38720,0.0122,0.012400000000000001,0.012400000000000001,0.0122,0.33999999999999986
2021-03-21,289470.7419354839,124.47428571428571,57.95,20.0,128.90857142857143,57.95,20.0,38.50571983,4785.0,4555.0,1.387,26.28,25.88,26.49,25.6,79590,0.012066666666666667,0.012,0.012066666666666667,0.011866666666666668,0.889999999999997
2021-03-28,283922.4516129032,125.05,57.95,20.0,129.27714285714285,57.95,20.0,39.94386573,4752.0,4445.0,1.3791,26.47,26.02,26.49,25.9,20700,0.0122,0.0124,0.0124,0.012233333333333334,0.5899999999999999
2021-04-04,281666.4,125.22428571428571,57.95,20.0,129.34571428571428,57.95,20.0,38.36885003,5380.0,4286.0,1.3875826666666666,25.99,26.12,26.42,25.73,129420,0.01216,0.012060000000000001,0.01222,0.012,0.6900000000000013
2021-04-11,283800.0,125.37714285714286,57.95,20.0,129.3842857142857,57.95,20.0,40.00651467,5154.0,5291.0,1.37085,25.91,25.84,26.01,25.75,9820,0.012,0.011966666666666667,0.012066666666666667,0.0119,0.26000000000000156
2021-04-18,285933.6,125.46857142857144,57.95,20.0,129.4757142857143,57.95,20.0,35.77280802,5633.0,5974.0,1.38335,27.47,27.58,27.62,27.32,41790,0.012566666666666667,0.0126,0.012666666666666666,0.012466666666666668,0.3000000000000007
2021-04-25,288067.2,125.75428571428571,57.95,20.0,129.73000000000002,57.95,20.0,36.60285598,6333.0,6092.0,1.38735,26.95,26.92,27.14,26.7,81650,0.012833333333333334,0.012733333333333333,0.012766666666666666,0.012566666666666667,0.4400000000000013
2021-05-02,289812.03225806454,126.04857142857144,57.95,20.0,129.96714285714285,57.95,20.0,36.80621671,6069.0,5527.0,1.38165,27.54,28.07,28.08,27.47,100220,0.0132,0.013049999999999999,0.01335,0.013000000000000001,0.6099999999999994
